id,surgery,age,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheral_pulse,mucous_membrane,capillary_refill_time,pain,peristalsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,surgical_lesion
802.0,yes,adult,38.0,120.0,40.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,5.4,absent,distend_large,47.0,7.5,cloudy,2.0,yes
475.0,no,adult,37.4,48.0,12.0,normal,normal,normal_pink,less_3_sec,alert,hypermotile,slight,slight,none,5.0,normal,other,49.0,8.0,clear,5.0,no
394.0,yes,adult,38.1,104.0,40.0,cool,normal,bright_red,more_3_sec,depressed,absent,slight,slight,more_1_liter,2.0,None,None,57.0,74.0,serosanguious,2.0,yes
262.0,yes,adult,37.2,108.0,12.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,slight,None,more_1_liter,6.0,decreased,distend_small,69.0,8.9,serosanguious,6.0,yes
575.0,yes,adult,38.1,60.0,12.0,warm,normal,pale_pink,less_3_sec,mild_pain,hypermotile,moderate,none,less_1_liter,7.0,increased,normal,47.0,6.1,clear,3.3,yes
172.0,yes,adult,37.7,60.0,28.0,cool,normal,normal_pink,less_3_sec,severe_pain,absent,moderate,slight,more_1_liter,5.7,None,distend_small,44.0,7.4,cloudy,1.0,yes
587.0,yes,adult,38.2,66.0,24.0,cool,reduced,pale_pink,less_3_sec,mild_pain,hypermotile,moderate,slight,less_1_liter,5.3,absent,distend_large,47.0,7.0,serosanguious,2.0,yes
0.0,yes,adult,38.2,88.0,40.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,moderate,significant,None,4.5,absent,distend_large,50.0,7.7,serosanguious,1.4,yes
1155.0,yes,young,39.3,66.0,12.0,cool,normal,bright_pink,less_3_sec,severe_pain,normal,slight,slight,none,3.0,increased,None,58.0,7.0,clear,2.4,yes
0.0,no,adult,38.6,68.0,20.0,warm,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,4.5,normal,distend_large,38.0,6.5,clear,3.0,no
0.0,yes,adult,38.2,72.0,28.0,None,None,None,None,None,None,None,None,None,4.5,None,None,48.0,7.5,None,3.0,yes
1218.0,yes,adult,38.2,86.0,20.0,cool,reduced,pale_cyanotic,less_3_sec,extreme_pain,absent,severe,slight,less_1_liter,4.5,absent,distend_small,45.0,6.0,cloudy,3.9,no
227.0,no,adult,38.1,54.0,36.0,cool,normal,bright_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,5.4,normal,distend_large,44.0,7.2,cloudy,4.4,yes
856.0,no,adult,39.6,108.0,51.0,cold,absent,dark_cyanotic,more_3_sec,depressed,absent,severe,none,less_1_liter,2.0,None,distend_large,65.0,82.0,cloudy,2.0,no
253.0,yes,adult,37.5,60.0,48.0,cool,reduced,bright_red,more_3_sec,severe_pain,absent,none,none,more_1_liter,2.0,normal,None,75.0,81.0,cloudy,2.0,yes
335.0,yes,adult,37.6,84.0,40.0,cool,reduced,normal_pink,less_3_sec,mild_pain,absent,slight,slight,more_1_liter,2.0,absent,distend_small,75.0,81.0,clear,2.0,yes
460.0,no,adult,38.3,96.0,25.0,cool,reduced,pale_pink,less_3_sec,extreme_pain,absent,severe,none,more_1_liter,6.5,absent,None,45.0,6.7,clear,3.0,yes
0.0,yes,adult,38.2,112.0,13.0,cold,absent,pale_cyanotic,less_3_sec,depressed,hypomotile,none,slight,none,4.5,absent,distend_small,60.0,6.3,serosanguious,3.0,yes
0.0,yes,adult,36.8,60.0,28.0,None,None,None,None,None,None,None,None,None,4.5,None,None,48.0,7.5,None,10.0,yes
1125.0,no,adult,37.1,84.0,30.0,cool,reduced,pale_pink,3,mild_pain,absent,moderate,significant,less_1_liter,2.0,absent,distend_large,75.0,81.0,cloudy,1.0,yes
1145.0,yes,adult,39.0,100.0,51.0,cold,reduced,dark_cyanotic,less_3_sec,depressed,absent,none,None,more_1_liter,2.0,absent,distend_small,59.0,8.2,cloudy,2.6,yes
0.0,yes,adult,38.2,72.0,28.0,None,None,None,None,None,None,None,None,None,4.5,None,None,48.0,7.5,None,3.0,yes
255.0,yes,adult,35.4,52.0,24.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,hypomotile,moderate,significant,none,7.0,serosanguious,distend_small,57.0,69.0,serosanguious,2.0,yes
84.0,yes,adult,37.2,108.0,12.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,6.0,decreased,firm,52.0,8.2,serosanguious,7.4,yes
904.0,yes,adult,38.1,52.0,88.0,cool,reduced,bright_red,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,2.0,normal,distend_large,53.0,71.0,cloudy,1.0,yes
0.0,yes,adult,37.6,64.0,21.0,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,none,none,none,4.5,increased,distend_large,40.0,7.0,clear,3.0,yes
719.0,yes,young,39.8,120.0,20.0,cold,absent,dark_cyanotic,more_3_sec,extreme_pain,hypomotile,moderate,None,more_1_liter,4.0,None,None,36.0,4.9,serosanguious,5.0,yes
0.0,no,adult,37.8,82.0,12.0,cool,normal,normal_pink,more_3_sec,severe_pain,None,moderate,none,more_1_liter,4.5,None,None,50.0,7.0,None,3.0,yes
602.0,yes,adult,38.2,60.0,28.0,normal,normal,pale_pink,less_3_sec,mild_pain,absent,none,slight,more_1_liter,6.5,absent,distend_large,39.0,4.6,clear,2.6,no
423.0,yes,adult,37.2,88.0,24.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,severe,significant,more_1_liter,2.0,None,distend_small,57.0,82.0,serosanguious,2.0,yes
1016.0,yes,adult,38.1,66.0,12.0,cold,reduced,pale_cyanotic,less_3_sec,mild_pain,hypomotile,none,slight,none,3.0,decreased,distend_small,44.0,6.0,cloudy,3.6,yes
0.0,no,adult,37.2,108.0,12.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,None,more_1_liter,6.0,decreased,firm,52.0,8.2,serosanguious,7.4,yes
272.0,yes,adult,37.2,108.0,48.0,cold,reduced,pale_pink,more_3_sec,extreme_pain,hypomotile,moderate,slight,more_1_liter,5.4,decreased,distend_large,55.0,6.5,serosanguious,4.5,no
0.0,yes,adult,38.0,86.0,24.0,cold,reduced,pale_cyanotic,less_3_sec,depressed,absent,severe,none,none,4.5,absent,distend_large,45.0,5.5,clear,10.1,yes
623.0,no,adult,38.3,54.0,40.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,slight,none,7.0,normal,firm,35.0,5.9,cloudy,7.4,no
706.0,no,adult,38.6,48.0,32.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,slight,none,6.5,None,other,49.0,7.3,clear,2.0,no
182.0,yes,adult,37.8,112.0,20.0,cool,reduced,pale_cyanotic,more_3_sec,extreme_pain,absent,severe,significant,none,4.5,absent,distend_large,54.0,7.3,cloudy,3.9,yes
1186.0,yes,adult,37.8,48.0,18.0,cool,normal,normal_pink,less_3_sec,depressed,hypomotile,none,None,less_1_liter,4.5,normal,normal,46.0,5.7,cloudy,10.1,no
806.0,yes,adult,37.3,84.0,12.0,cool,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,slight,slight,more_1_liter,4.4,absent,distend_small,54.0,8.1,serosanguious,4.7,yes
669.0,no,adult,38.6,100.0,68.0,normal,None,pale_pink,more_3_sec,severe_pain,absent,moderate,slight,more_1_liter,2.0,absent,distend_large,52.0,80.0,serosanguious,2.0,yes
1092.0,yes,adult,37.8,60.0,16.0,cool,reduced,bright_red,more_3_sec,depressed,hypomotile,severe,none,more_1_liter,2.0,absent,distend_large,52.0,75.0,serosanguious,2.0,yes
1136.0,no,adult,37.8,88.0,28.0,cool,reduced,None,less_3_sec,severe_pain,absent,None,none,more_1_liter,1.0,absent,None,33.0,64.0,cloudy,2.0,yes
0.0,yes,adult,38.3,60.0,16.0,cool,normal,normal_pink,less_3_sec,depressed,hypermotile,none,slight,less_1_liter,3.0,normal,distend_small,30.0,6.0,clear,3.0,yes
869.0,yes,adult,39.0,84.0,24.0,cool,normal,bright_pink,less_3_sec,depressed,hypermotile,none,slight,none,7.0,absent,distend_small,37.0,6.5,serosanguious,4.1,yes
1059.0,no,adult,38.2,84.0,36.0,warm,reduced,pale_pink,less_3_sec,depressed,absent,none,slight,more_1_liter,7.0,absent,distend_large,47.0,7.5,serosanguious,4.3,no
730.0,yes,young,39.4,114.0,36.0,cool,reduced,dark_cyanotic,more_3_sec,depressed,hypomotile,moderate,none,none,4.4,decreased,None,50.0,7.0,serosanguious,3.9,yes
786.0,no,adult,37.5,60.0,16.0,cool,None,pale_pink,less_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,2.0,absent,distend_large,55.0,55.0,serosanguious,2.0,no
978.0,no,adult,38.2,56.0,40.0,cool,normal,normal_pink,less_3_sec,depressed,normal,slight,none,none,7.0,normal,None,47.0,7.5,clear,2.1,no
638.0,no,adult,38.0,60.0,20.0,cool,None,None,less_3_sec,mild_pain,None,moderate,slight,none,4.5,absent,distend_small,43.0,7.6,None,2.0,yes
0.0,yes,adult,38.0,72.0,24.0,cool,reduced,dark_cyanotic,more_3_sec,extreme_pain,None,severe,none,none,4.5,None,None,68.0,7.8,None,3.0,yes
813.0,yes,adult,39.0,60.0,24.0,cold,reduced,dark_cyanotic,more_3_sec,extreme_pain,absent,moderate,slight,more_1_liter,4.5,absent,distend_large,54.0,8.6,serosanguious,4.1,yes
0.0,yes,adult,38.9,80.0,44.0,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,7.0,decreased,normal,54.0,6.5,serosanguious,3.0,yes
841.0,yes,young,38.4,124.0,96.0,cold,reduced,pale_pink,more_3_sec,depressed,absent,moderate,slight,less_1_liter,4.4,absent,distend_small,50.0,7.8,serosanguious,3.4,yes
0.0,no,adult,38.6,52.0,20.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,none,4.5,normal,firm,36.0,6.6,clear,5.0,no
130.0,yes,adult,37.4,84.0,36.0,normal,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,none,more_1_liter,1.0,absent,distend_large,46.0,46.0,serosanguious,2.0,yes
875.0,no,adult,38.5,136.0,48.0,cool,reduced,dark_cyanotic,less_3_sec,extreme_pain,hypomotile,moderate,None,less_1_liter,4.0,absent,None,60.0,6.8,serosanguious,4.4,yes
127.0,yes,adult,38.3,104.0,40.0,normal,reduced,bright_red,more_3_sec,depressed,hypomotile,none,slight,more_1_liter,6.5,normal,None,64.0,9.1,cloudy,2.6,yes
979.0,no,adult,38.6,52.0,40.0,normal,normal,bright_pink,less_3_sec,depressed,hypomotile,slight,slight,none,7.2,normal,firm,54.0,8.0,clear,5.2,yes
539.0,no,adult,40.3,114.0,44.0,cool,normal,pale_pink,less_3_sec,depressed,hypomotile,moderate,slight,none,7.0,normal,normal,57.0,8.1,serosanguious,4.5,yes
959.0,yes,adult,38.3,88.0,36.0,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,none,more_1_liter,5.0,None,distend_large,48.0,7.5,serosanguious,3.6,yes
1215.0,yes,adult,38.2,52.0,24.0,cool,reduced,pale_pink,less_3_sec,severe_pain,hypomotile,moderate,none,more_1_liter,7.0,absent,distend_small,54.0,4.0,cloudy,7.4,yes
890.0,no,adult,37.1,72.0,24.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,severe,none,more_1_liter,2.0,absent,distend_large,67.0,51.0,cloudy,2.0,yes
0.0,yes,adult,38.4,84.0,30.0,cool,normal,bright_red,more_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,6.5,absent,distend_small,47.0,7.5,serosanguious,3.0,yes
129.0,yes,adult,38.3,84.0,36.0,cool,normal,pale_pink,less_3_sec,severe_pain,hypomotile,slight,none,none,7.0,normal,distend_large,45.0,6.5,cloudy,1.6,yes
977.0,yes,adult,38.9,56.0,40.0,cold,reduced,pale_pink,less_3_sec,depressed,hypomotile,moderate,slight,less_1_liter,7.5,None,None,47.0,7.2,clear,2.5,no
180.0,yes,adult,37.2,60.0,12.0,normal,None,pale_pink,less_3_sec,None,absent,severe,slight,more_1_liter,2.0,None,distend_large,52.0,75.0,serosanguious,2.0,yes
236.0,yes,adult,38.5,114.0,30.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,moderate,none,more_1_liter,4.0,decreased,distend_small,57.0,69.0,serosanguious,2.0,yes
548.0,yes,adult,38.5,72.0,44.0,cool,reduced,bright_red,more_3_sec,depressed,absent,slight,slight,none,4.5,absent,distend_small,53.0,8.6,cloudy,4.3,yes
64.0,yes,young,37.5,66.0,13.0,None,None,None,None,None,None,None,slight,more_1_liter,5.0,decreased,None,40.0,4.5,None,0.1,yes
905.0,no,adult,37.6,52.0,16.0,cool,reduced,pale_pink,more_3_sec,depressed,hypomotile,moderate,None,more_1_liter,2.0,increased,None,57.0,62.0,clear,1.0,no
927.0,yes,young,39.0,120.0,40.0,cool,reduced,dark_cyanotic,less_3_sec,extreme_pain,absent,severe,significant,more_1_liter,4.0,absent,distend_large,67.0,8.1,cloudy,2.6,yes
47.0,yes,adult,38.1,66.0,12.0,cool,reduced,bright_red,less_3_sec,mild_pain,hypomotile,none,slight,none,3.5,increased,distend_large,44.0,7.5,cloudy,3.6,yes
764.0,no,adult,38.5,52.0,40.0,normal,normal,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,5.5,normal,distend_large,36.0,6.6,clear,5.0,no
179.0,yes,adult,38.4,84.0,51.0,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,2.0,None,distend_small,43.0,51.0,clear,1.6,yes
643.0,yes,young,38.0,132.0,68.0,normal,reduced,bright_red,more_3_sec,depressed,hypomotile,moderate,slight,more_1_liter,7.0,normal,None,54.0,7.5,cloudy,1.4,yes
383.0,yes,adult,37.0,52.0,12.0,cool,normal,normal_pink,less_3_sec,mild_pain,normal,slight,slight,more_1_liter,5.0,normal,distend_small,44.0,8.1,cloudy,1.6,yes
1024.0,yes,adult,39.5,76.0,24.0,cool,reduced,pale_pink,more_3_sec,extreme_pain,absent,severe,slight,less_1_liter,4.5,absent,distend_large,45.0,6.5,serosanguious,2.6,yes
311.0,no,adult,38.2,130.0,48.0,cold,reduced,pale_cyanotic,less_3_sec,depressed,absent,severe,none,more_1_liter,2.0,None,None,65.0,82.0,cloudy,2.0,no
289.0,yes,adult,38.0,88.0,96.0,cool,reduced,pale_cyanotic,less_3_sec,depressed,hypomotile,slight,slight,less_1_liter,5.5,absent,distend_small,54.0,6.6,serosanguious,4.3,yes
593.0,no,adult,37.3,64.0,30.0,cool,reduced,None,less_3_sec,extreme_pain,hypomotile,slight,None,more_1_liter,4.5,absent,None,39.0,6.7,serosanguious,4.5,no
0.0,yes,young,38.2,124.0,88.0,normal,reduced,bright_pink,less_3_sec,depressed,hypomotile,severe,None,None,4.5,None,None,47.0,8.0,clear,3.0,yes
1030.0,yes,adult,38.3,88.0,24.0,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,none,3.0,decreased,distend_large,30.0,6.0,clear,3.9,yes
291.0,yes,adult,38.4,52.0,16.0,warm,normal,normal_pink,less_3_sec,alert,hypermotile,none,slight,more_1_liter,5.5,None,distend_large,45.0,7.0,clear,1.0,yes
952.0,yes,adult,38.9,80.0,40.0,cold,reduced,pale_cyanotic,less_3_sec,mild_pain,absent,moderate,slight,more_1_liter,4.4,decreased,distend_large,63.0,7.2,serosanguious,4.8,yes
494.0,yes,adult,38.3,88.0,28.0,normal,normal,pale_pink,less_3_sec,alert,hypermotile,none,none,more_1_liter,4.5,normal,None,48.0,6.1,clear,2.6,yes
626.0,yes,adult,37.3,64.0,36.0,cool,None,pale_cyanotic,more_3_sec,severe_pain,hypomotile,slight,none,less_1_liter,6.0,absent,distend_small,66.0,5.8,serosanguious,7.4,yes
935.0,yes,adult,39.2,88.0,24.0,cool,reduced,pale_pink,less_3_sec,severe_pain,hypomotile,moderate,slight,more_1_liter,4.5,absent,distend_large,50.0,6.6,serosanguious,4.1,yes
1154.0,yes,adult,39.3,88.0,28.0,cool,reduced,pale_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,4.5,decreased,normal,45.0,7.2,serosanguious,3.4,yes
267.0,yes,adult,37.5,49.0,9.0,normal,normal,bright_pink,less_3_sec,alert,hypomotile,slight,slight,less_1_liter,6.5,normal,other,49.0,8.0,cloudy,7.6,no
9.0,yes,adult,38.3,129.0,48.0,cool,reduced,pale_pink,less_3_sec,depressed,absent,moderate,slight,none,4.4,None,None,57.0,4.9,cloudy,2.9,yes
131.0,yes,adult,38.3,132.0,28.0,None,reduced,dark_cyanotic,more_3_sec,depressed,absent,slight,slight,more_1_liter,6.2,absent,distend_small,57.0,8.0,None,5.2,yes
617.0,yes,adult,38.3,60.0,28.0,normal,increased,normal_pink,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,4.5,decreased,distend_small,40.0,4.5,cloudy,2.0,yes
99.0,yes,adult,38.1,54.0,18.0,normal,normal,normal_pink,less_3_sec,alert,hypomotile,none,none,None,3.0,decreased,other,39.0,7.0,clear,3.0,yes
124.0,yes,adult,37.1,104.0,35.0,cold,reduced,dark_cyanotic,more_3_sec,depressed,absent,moderate,slight,more_1_liter,5.0,absent,distend_small,73.0,11.0,serosanguious,3.9,yes
71.0,yes,adult,38.0,52.0,24.0,cool,reduced,pale_cyanotic,less_3_sec,severe_pain,absent,severe,slight,more_1_liter,2.0,decreased,distend_small,57.0,82.0,serosanguious,2.0,yes
0.0,no,adult,40.3,114.0,36.0,cool,reduced,normal_pink,more_3_sec,depressed,hypomotile,moderate,slight,none,7.0,normal,distend_large,57.0,8.1,serosanguious,4.5,yes
832.0,yes,adult,38.0,48.0,24.0,normal,reduced,normal_pink,less_3_sec,mild_pain,hypomotile,none,slight,more_1_liter,2.0,normal,None,37.0,56.0,clear,2.0,yes
277.0,yes,adult,38.3,52.0,12.0,normal,normal,normal_pink,less_3_sec,mild_pain,hypomotile,slight,none,more_1_liter,2.0,decreased,distend_small,41.0,61.0,clear,2.0,yes
290.0,no,adult,38.6,48.0,12.0,cool,normal,normal_pink,less_3_sec,alert,hypermotile,slight,None,more_1_liter,5.0,normal,None,43.0,7.2,clear,3.6,no
13.0,yes,adult,38.0,66.0,12.0,cool,reduced,normal_pink,less_3_sec,depressed,hypomotile,moderate,slight,none,4.5,absent,distend_large,60.0,7.4,serosanguious,3.9,yes
808.0,no,adult,39.4,112.0,36.0,cool,reduced,bright_red,more_3_sec,severe_pain,hypomotile,moderate,none,more_1_liter,2.0,None,None,58.0,7.0,serosanguious,3.9,yes
1080.0,no,adult,37.6,48.0,20.0,cool,None,pale_cyanotic,less_3_sec,depressed,absent,slight,slight,none,4.5,decreased,firm,45.0,7.5,cloudy,2.3,no
0.0,yes,young,38.4,84.0,40.0,cool,reduced,bright_pink,less_3_sec,mild_pain,hypomotile,moderate,none,none,4.5,None,None,36.0,6.6,cloudy,2.8,yes
187.0,yes,adult,37.5,54.0,40.0,cool,reduced,pale_pink,less_3_sec,mild_pain,hypomotile,slight,slight,more_1_liter,3.5,absent,distend_small,45.0,6.5,serosanguious,3.5,yes
665.0,yes,adult,39.3,84.0,40.0,cool,reduced,pale_pink,less_3_sec,depressed,absent,None,None,more_1_liter,2.0,absent,distend_large,75.0,81.0,cloudy,2.0,no
0.0,yes,adult,38.2,40.0,16.0,cool,reduced,normal_pink,less_3_sec,alert,hypomotile,None,None,None,4.5,normal,normal,34.0,66.0,None,3.0,no
186.0,yes,adult,39.3,66.0,48.0,warm,reduced,bright_red,less_3_sec,mild_pain,hypomotile,moderate,slight,less_1_liter,4.5,absent,distend_small,54.0,7.5,cloudy,2.9,yes
395.0,yes,young,37.8,96.0,21.0,cool,reduced,dark_cyanotic,less_3_sec,severe_pain,absent,moderate,significant,more_1_liter,4.5,None,distend_large,44.0,7.4,serosanguious,4.7,yes
1109.0,yes,adult,38.7,100.0,12.0,cool,reduced,pale_cyanotic,more_3_sec,severe_pain,hypomotile,moderate,significant,more_1_liter,2.0,absent,distend_small,52.0,72.0,serosanguious,3.3,yes
